,股票编号,predict_prob_scale_x,predictscale_x,predict_prob_scale_y,predictscale_y,score_logit,score_SVM,score
0,2,0.5597907318678366,1,0.4141312672692825,1,499.0,370.0,869.0
1,5,0.7565212267520144,1,0.4598457109528807,1,181.0,296.0,477.0
2,6,0.27467610060395575,0,0.07159078408515289,0,1331.0,1310.0,2641.0
3,7,0.4781948518835267,0,0.11771113415332839,0,671.0,1011.0,1682.0
4,9,0.20145142855359424,0,0.06720010097381163,0,1583.0,1365.0,2948.0
5,10,0.6997715164764768,1,0.5,1,260.0,237.0,497.0
6,12,0.43747755614629147,0,0.13719158136694679,0,771.0,937.0,1708.0
7,13,0.5192107807850248,1,0.5655189167446711,1,593.0,137.0,730.0
8,15,0.4073770278057233,0,0.06130301731895525,0,872.0,1463.0,2335.0
9,18,0.9371146172451269,1,0.48739453196471005,1,43.0,255.0,298.0
10,19,0.21570776024596627,0,0.18294034999966008,0,1550.0,784.0,2334.0
11,21,0.06861526953810732,0,0.06177758635066689,0,1794.0,1447.0,3241.0
12,24,0.4901624468130419,0,0.19065688115055213,0,646.0,765.0,1411.0
13,25,0.5853965595061436,1,0.3406251791086467,1,449.0,507.0,956.0
14,26,0.10060097637992077,0,0.060645619550852764,0,1775.0,1471.0,3246.0
15,27,0.5216846371832312,1,0.45249217673460396,1,587.0,308.0,895.0
16,28,0.28967510413498054,0,0.06009493062504161,0,1260.0,1485.0,2745.0
17,32,0.6169535005885144,1,0.5269086188790477,1,389.0,199.0,588.0
18,33,0.14541672708257303,0,0.060118617075641013,0,1709.0,1484.0,3193.0
19,34,0.33521026109050556,0,0.10007145657804761,0,1119.0,1114.0,2233.0
20,37,0.45793211694206737,0,0.19199388746803694,0,723.0,760.0,1483.0
21,39,0.46517186554887247,0,0.23893657516291114,1,713.0,657.0,1370.0
22,41,0.19904009513825022,0,0.6140237469798541,1,1590.0,78.0,1668.0
23,42,0.8843752991370112,1,0.5070051003751195,1,79.0,227.0,306.0
24,44,0.5880766219375427,1,0.30417333249800976,1,442.0,554.0,996.0
25,47,0.48297393298680286,0,0.1706473311058844,0,659.0,813.0,1472.0
26,48,0.10644137556199455,0,0.08372746136492043,0,1764.0,1220.0,2984.0
27,50,0.44672997752768173,0,0.1562290534587074,0,748.0,855.0,1603.0
28,52,0.41471790330246233,0,0.21511770143546458,0,845.0,702.0,1547.0
29,53,0.4868260461573237,0,0.41413253318170457,1,649.0,369.0,1018.0
30,56,0.27598145019373255,0,0.021426487454603,0,1327.0,1798.0,3125.0
31,63,0.6248300150382974,1,0.5545708832478006,1,382.0,158.0,540.0
32,65,0.653644232289367,1,0.3850231457708777,1,321.0,423.0,744.0
33,67,0.5581208170692789,1,0.3992660378480577,1,507.0,395.0,902.0
34,68,0.8206071993003947,1,0.7928441380821747,1,128.0,5.0,133.0
35,69,0.3818661665336079,0,0.3110820218861518,1,953.0,546.0,1499.0
36,75,0.5045384463373886,1,0.11415106121757024,0,625.0,1032.0,1657.0
37,77,0.440962385684325,0,0.12843138669476623,0,763.0,973.0,1736.0
38,79,0.40584418555698776,0,0.1117781265780383,0,878.0,1045.0,1923.0
39,81,0.2762160149919942,0,0.08306200211817012,0,1324.0,1226.0,2550.0
40,83,0.19276016926036454,0,0.12146674870973477,0,1610.0,999.0,2609.0
41,84,0.45985341865288143,0,0.07082171170442557,0,719.0,1320.0,2039.0
42,85,0.2352742974196868,0,0.04344441431825342,0,1489.0,1677.0,3166.0
43,86,0.3334422176029722,0,0.1804386119435329,0,1128.0,790.0,1918.0
44,87,0.7909546241562948,1,0.5095311745107601,1,158.0,224.0,382.0
45,91,0.475210644461802,0,0.414028806004287,1,681.0,371.0,1052.0
46,92,0.3557453783129784,0,0.08562457663058046,0,1049.0,1214.0,2263.0
47,94,0.23537155863582038,0,0.057090277563979365,0,1488.0,1526.0,3014.0
48,95,0.8621966355450623,1,0.4327929659638138,1,98.0,340.0,438.0
49,96,0.2650071915303742,0,0.05531914377546957,0,1370.0,1547.0,2917.0
50,99,0.41896945944897507,0,0.2990763064130253,1,832.0,564.0,1396.0
51,110,0.4551175847643434,0,0.18593531949577047,0,731.0,774.0,1505.0
52,112,0.5486223654160666,1,0.3546074829474962,1,530.0,477.0,1007.0
53,118,0.5590423357638034,1,0.6135402225485381,1,502.0,80.0,582.0
54,123,0.6620669098036712,1,0.30476289485321767,1,309.0,553.0,862.0
55,125,0.13032145850085847,0,0.0469232591676189,0,1737.0,1646.0,3383.0
56,126,0.39367117993341505,0,0.14996653705629331,0,917.0,884.0,1801.0
57,127,0.8743032250009822,1,0.5387734822953537,1,87.0,184.0,271.0
58,130,0.9710692765427462,1,0.36862507904180813,1,18.0,458.0,476.0
59,134,0.4978961100591759,0,0.47316068457448424,1,635.0,281.0,916.0
60,135,0.1315670218602142,0,0.0291267095282202,0,1735.0,1785.0,3520.0
61,136,0.5281877298354744,1,0.43576956405721184,1,577.0,332.0,909.0
62,137,0.34463723448747874,0,0.09946450790833196,0,1093.0,1117.0,2210.0
63,139,0.32703876763903117,0,0.08598675295971248,0,1145.0,1209.0,2354.0
64,141,0.18707290293726261,0,0.10384349217289128,0,1621.0,1087.0,2708.0
65,143,0.3501344263365294,0,0.11189723837911518,0,1070.0,1043.0,2113.0
66,148,0.706394744491972,1,0.7185875209277601,1,249.0,18.0,267.0
67,149,0.48002763153899597,0,0.21210619729073593,0,666.0,710.0,1376.0
68,152,0.4248536026723612,0,0.24439039943048976,1,808.0,649.0,1457.0
69,153,0.1624854472520656,0,0.04074609205798874,0,1675.0,1713.0,3388.0
70,154,0.24669414038502535,0,0.10148393333290075,0,1447.0,1105.0,2552.0
71,155,0.2492910735899635,0,0.3531451278982601,1,1432.0,482.0,1914.0
72,157,0.6625806202420568,1,0.3759175262571786,1,306.0,445.0,751.0
73,158,0.7004138925236868,1,0.4524670054418593,1,258.0,309.0,567.0
74,161,0.25180460372030916,0,0.03651704916051692,0,1422.0,1754.0,3176.0
75,162,0.1241329788271249,0,0.05740712487073308,0,1742.0,1522.0,3264.0
76,164,0.4813357374361419,0,0.18321473450509201,0,663.0,782.0,1445.0
77,168,0.2790729927718861,0,0.03433076208020274,0,1314.0,1767.0,3081.0
78,169,0.45582253135749795,0,0.13701733454827242,0,728.0,939.0,1667.0
79,172,0.7301016887944648,1,0.6538807022068097,1,214.0,47.0,261.0
80,173,0.5529931252933981,1,0.13768921575283732,0,517.0,935.0,1452.0
81,174,0.2402024738566771,0,0.059931300910052686,0,1470.0,1488.0,2958.0
82,175,0.8548996441426241,1,0.5421721285631665,1,105.0,181.0,286.0
83,179,0.8774679107842509,1,0.4433846188216606,1,84.0,319.0,403.0
84,181,0.8147272937130186,1,0.5165467374975647,1,134.0,211.0,345.0
85,183,0.2708132839482882,0,0.05238309545538405,0,1342.0,1591.0,2933.0
86,184,0.7240170002480266,1,0.5,1,221.0,237.0,458.0
87,186,0.5517208303617624,1,0.4398123175153634,1,520.0,326.0,846.0
88,188,0.22177881021934126,0,0.11715541270344175,0,1531.0,1013.0,2544.0
89,190,0.15034260245331804,0,0.061550013890787784,0,1701.0,1455.0,3156.0
90,191,0.7236150289189188,1,0.4243355049606815,1,222.0,353.0,575.0
91,192,0.5618259362013566,1,0.5584250268446463,1,493.0,152.0,645.0
92,193,0.3282880915035117,0,0.06480836492660598,0,1142.0,1397.0,2539.0
93,194,0.9851085656113622,1,0.3951059197817024,1,13.0,407.0,420.0
94,195,0.42235816358687467,0,0.3768555397339873,1,818.0,443.0,1261.0
95,196,0.40326265184521076,0,0.18933071074361862,0,888.0,767.0,1655.0
96,197,0.36885484187669015,0,0.05933586708704208,0,998.0,1501.0,2499.0
97,200,0.6579158532961774,1,0.35580410151293496,1,317.0,475.0,792.0
98,201,0.9510586851631755,1,0.5844407441650136,1,34.0,110.0,144.0
99,202,0.23966106926308284,0,0.09429048216225748,0,1471.0,1158.0,2629.0
100,203,0.5342088630915466,1,0.5406612267543444,1,565.0,183.0,748.0
101,204,0.5263248653379949,1,0.10015190571035772,0,582.0,1113.0,1695.0
102,205,0.2042796904226406,0,0.06516665759903979,0,1578.0,1391.0,2969.0
103,208,0.48326799708208096,0,0.15772975484657117,0,657.0,851.0,1508.0
104,216,0.34073386806608197,0,0.05836815458851608,0,1106.0,1511.0,2617.0
105,217,0.4430216587461317,0,0.15736584192154746,0,756.0,852.0,1608.0
106,221,0.3424302329659469,0,0.14788164899766607,0,1099.0,887.0,1986.0
107,224,0.6751691131308257,1,0.20941812355726536,0,289.0,719.0,1008.0
108,225,0.7432304242847428,1,0.44794121667472775,1,199.0,313.0,512.0
